"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2KBHRWCG","webpage","","K.Frederiksen Kristian.steen.frederiksen@regionh.dk; Michele Romoli, romoli@ean.org, guidelines@ean.org","A European Academy of Neurology guideline on medical management issues in dementia","","","","","","","","2026-01-08 00:52:08","2026-01-08 00:52:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SJ6GELZ","webpage","2025","demande@inesss.qc.ca; Presumed penicillin allergies: risk assessment for optimal and safe use of betalactams; INESSS (CA)","Allergie présumée aux pénicillines – Évaluation des risques pour un usage optimal et sécuritaire des bêta-lactamines","","","","","Canada","","2025","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTQPKXBV","webpage","2025","demande@inesss.qc.ca; Detection of vancomycin-resistant enterococci (VRE); INESSS (CA)","Détection de l’entérocoque résistant à la vancomycine (ERV)","","","","","Canada","","2025","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNX385GH","webpage","","Ina Kopp (imwi@awmf.org); Diagnosis and treatment of vitiligo; 2024; AWMF (DE)","Diagnostik und Therapie der Vitiligo. S2k-LL (DDG)","","","","","Germany","","","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LP8KIHW","webpage","2020","Ina Kopp (imwi@awmf.org); Diagnosis and therapy of memory disorders in neurological diseases; 31/12/2025; 2020; AWMF (DE)","Diagnostik und Therapie von Gedächtnisstörungen bei neurologischen Erkrankungen. S2e-LL (DGN)","","","","","Germany","","2020","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WYSEW3PX","webpage","","A. Solari alessandra.solari@istituto-besta.it; Michele Romoli, romoli@ean.org, guidelines@ean.org","EAN guideline on palliative care of people with severe, progressive multiple sclerosis","","","","","","","","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGCGIP6D","webpage","","Ina Kopp (imwi@awmf.org); Recommendations for the structural requirements of pediatric oncology and hematology care","Empfehlungen für die strukturellen Voraussetzungen der pädiatrisch onkologischen und hämatologischen Versorgung. S2k-LL (GPOH)","","","","","","","","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9NT38A7","webpage","","Philip Van Damme (philip.vandamme@uzleuven.be); Michele Romoli, romoli@ean.org, guidelines@ean.org","European Academy of Neurology (EAN) guideline on the management of amyotrophic lateral sclerosis in collaboration with European Reference Network for Neuromuscular Diseases (ERN EURO‐NMD)","","","","","","","","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGX7XHQT","webpage","","D. Muresanu (office@ssnn.ro); Michele Romoli, romoli@ean.org, guidelines@ean.org","European Academy of Neurology and European Federation of Neurorehabilitation Societies guideline on pharmacological support in early motor rehabilitation after acute ischaemic stroke","","","","","","","","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IAZ6BKPR","webpage","","Claudio L. A. Bassetti - claudio.bassetti@insel.ch; Michele Romoli, romoli@ean.org, guidelines@ean.org","European guideline and expert statements on the management of narcolepsy in adults and children","","","","","","","","2026-01-08 00:52:09","2026-01-08 00:52:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
