id,title,link
0,A European Academy of Neurology guideline on medical management issues in dementia,https://pureadmin.qub.ac.uk/ws/portalfiles/portal/248089949/ene.14412.pdf
1,Allergie présumée aux pénicillines – Évaluation des risques pour un usage optimal et sécuritaire des bêta-lactamines,https://www.urgencehsj.ca/wp-content/uploads/ALLERGIE-PRESUMEE-AUX-PENICILLINES-Evaluer-les-risques-et-optimiser-lusage-des-beta-lactamines.pdf
2,Détection de l’entérocoque résistant à la vancomycine (ERV),https://professionals.wrha.mb.ca/old/extranet/ipc/files/manuals/bilingual/Bilingual_5_VRE_Test.pdf
3,Diagnostik und Therapie der Vitiligo. S2k-LL (DDG),https://register.awmf.org/assets/guidelines/013-093l_S1_Diagnostik-Therapie-Vitiligo_2021-04.pdf
4,Diagnostik und Therapie von Gedächtnisstörungen bei neurologischen Erkrankungen. S2e-LL (DGN),https://register.awmf.org/assets/guidelines/030-124l_S2e_Diagnostik_Therapie_Ged%C3%A4chtnisst%C3%B6rungen_2025-03-abgelaufen.pdf
5,"EAN guideline on palliative care of people with severe, progressive multiple sclerosis",https://www.ean.org/fileadmin/user_upload/ean/ean/research/EAN_Guidelines/Guideline_Reference_Center/Guidelines/EAN_guideline_on_pall_care_2020.pdf
6,Empfehlungen für die strukturellen Voraussetzungen der pädiatrisch onkologischen und hämatologischen Versorgung. S2k-LL (GPOH),https://register.awmf.org/assets/guidelines/025-038l_S3k_Strukturelle-Voraussetzungen-paediatrische-onkologische-haematologische-Versorgung__2024-08.pdf
7,European Academy of Neurology (EAN) guideline on the management of amyotrophic lateral sclerosis in collaboration with European Reference Network for Neuromuscular Diseases (ERN EURO‐NMD),https://iris.unito.it/bitstream/2318/2069710/1/Eur%20J%20Neurol%202024%20-%20Van%20Damme%20-%20ALS%20Guidelines%20ene16264-sup-0002-appendixs1.pdf
8,European Academy of Neurology and European Federation of Neurorehabilitation Societies guideline on pharmacological support in early motor rehabilitation after acute ischaemic stroke,https://assets.ctfassets.net/07cwnclyy106/2YhmrzRFXy4n6PUgjS5geK/33e97a55dee2b1db3d5dacc1c491e9fe/EGT-2875.v1_Download.pdf
9,European guideline and expert statements on the management of narcolepsy in adults and children,https://www.uems-neuroboard.org/web/images/docs/exam/2024/papers/31-European-guideline-and-expert-statements-on-the-management-of-narcolepsy.pdf
10,Guía de Práctica Clínica de Intervenciones Psicosociales en el Trastorno Mental Grave. Revisión,https://portal.guiasalud.es/wp-content/uploads/2018/12/GPC_453_TMG_ICS_resum.pdf
11,Guidelines for clinical application of Chinese patent medicine in the treatment of influenza in children (2024),https://www.nature.com/articles/s41598-025-21006-5.pdf
12,Guidelines for Management of Latent Tuberculosis Infection in Patients Requiring Immunosuppressive Agents,https://tbcontrollers.org/docs/NSTC/LTBI_Clinical_Guide_Feb2025_FINAL.pdf
13,"Konservative, operative und rehabilitative Versorgung bei Bandscheibenvorfällen mit radikulärer Symptomatik. S2k-LL (DGOU)",https://register.awmf.org/assets/guidelines/033-048l_S2k_Konservative-operative_rehabilitative-Versorgung-Bandscheibenvorfall-radikulae_2025-09-abgelaufen.pdf
14,"Maladie pulmonaire obstructive chronique : repérage, diagnostic, usage optimal des médicaments et des dispositifs d’inhalation, et prise en charge globale",https://rushgq.org/wp-content/uploads/2023/09/Annexe_18_Fiche_RUSHGQ_MPOC_15sept2023_FINAL.pdf
15,Orthotic Management of Adolescent Idiopathic Scoliosis,https://hangerclinic.com/wp-content/uploads/syllabus-scoliosis-90.pdf
16,"Prostatakarzinom. S3-LL (Leitlinienprogramm Onkologie von AWMF, DKG und DKH)",https://www.leitlinienprogramm-onkologie.de/fileadmin/user_upload/Downloads/Leitlinien/Prostatatkarzinom/Prostata_3.1/LL_Prostata_Kurzversion_3.1_2.pdf
