id,title,link
0,A European Academy of Neurology guideline on medical management issues in dementia,https://pureadmin.qub.ac.uk/ws/portalfiles/portal/248089949/ene.14412.pdf
1,Allergie présumée aux pénicillines – Évaluation des risques pour un usage optimal et sécuritaire des bêta-lactamines,https://www.infectiologie.com/UserFiles/File/jni/2024/com/jni2024-sg2-02-chopin.pdf
2,Détection de l’entérocoque résistant à la vancomycine (ERV),https://professionals.wrha.mb.ca/old/extranet/ipc/files/manuals/bilingual/Bilingual_5_VRE_Test.pdf
3,Diagnostik und Therapie der Vitiligo. S2k-LL (DDG),https://register.awmf.org/assets/guidelines/013-093l_S1_Diagnostik-Therapie-Vitiligo_2021-04.pdf
4,Diagnostik und Therapie von Gedächtnisstörungen bei neurologischen Erkrankungen. S2e-LL (DGN),https://register.awmf.org/assets/guidelines/030-124l_S2e_Diagnostik_Therapie_Ged%C3%A4chtnisst%C3%B6rungen_2025-03-abgelaufen.pdf
5,"EAN guideline on palliative care of people with severe, progressive multiple sclerosis",
6,Empfehlungen für die strukturellen Voraussetzungen der pädiatrisch onkologischen und hämatologischen Versorgung. S2k-LL (GPOH),https://register.awmf.org/assets/guidelines/025-038l_S3k_Strukturelle-Voraussetzungen-paediatrische-onkologische-haematologische-Versorgung__2024-08.pdf
7,European Academy of Neurology (EAN) guideline on the management of amyotrophic lateral sclerosis in collaboration with European Reference Network for Neuromuscular Diseases (ERN EURO‐NMD),
8,European Academy of Neurology and European Federation of Neurorehabilitation Societies guideline on pharmacological support in early motor rehabilitation after acute ischaemic stroke,https://medandlife.org/wp-content/uploads/JMedLife-14-295.pdf
9,European guideline and expert statements on the management of narcolepsy in adults and children,
10,Guía de Práctica Clínica de Intervenciones Psicosociales en el Trastorno Mental Grave. Revisión,https://portal.guiasalud.es/wp-content/uploads/2018/12/GPC_453_TMG_ICS_resum.pdf
11,Guidelines for clinical application of Chinese patent medicine in the treatment of influenza in children (2024),https://www1.hkexnews.hk/app/sehk/2025/107680/a125569/sehk25091500322.pdf
12,Guidelines for Management of Latent Tuberculosis Infection in Patients Requiring Immunosuppressive Agents,https://publications.ersnet.org/content/erj/53/1/1802077.full.pdf
13,"Konservative, operative und rehabilitative Versorgung bei Bandscheibenvorfällen mit radikulärer Symptomatik. S2k-LL (DGOU)",
14,"Maladie pulmonaire obstructive chronique : repérage, diagnostic, usage optimal des médicaments et des dispositifs d’inhalation, et prise en charge globale",https://sicleo.org/wp-content/uploads/2025/01/Lafond-Pierre-Alexandre_MPOC-.pdf
15,Orthotic Management of Adolescent Idiopathic Scoliosis,https://eprints.staffs.ac.uk/2422/1/eprints2422.pdf
